형태소,품사,분류,카운트
꼼꼼히하셨어요,Adjective,5,1
꼽으라,Noun,5,1
꼽자,Noun,4,1
꼽자,Noun,5,1
꽁,Adverb,5,1
꽁초,Noun,2,1
꽂으면,Verb,1,2
꽃,Noun,4,3
꽃,Noun,5,7
꽉,Noun,2,1
꽉,Noun,5,1
꽉꽉,Adverb,5,1
꽉찬,Verb,5,1
꽉참,Verb,4,1
꽤,Noun,3,4
꽤,Noun,4,6
꽤,Noun,5,9
꾸고,Verb,2,1
꾸러미,Noun,3,1
꾸며놓은,Verb,5,1
꾸며놨고,Verb,5,1
꾸며서,Verb,4,1
꾸며져,Verb,5,4
꾸며져있다,Verb,4,1
꾸며져있음,Verb,3,1
꾸며지지는,Verb,2,1
꾸며진,Verb,5,1
꾸준히,Adjective,1,1
꾸준히,Adjective,4,1
꿀,Noun,1,1
꿀,Noun,5,2
꿀렁거려,Noun,4,1
꿀맛,Noun,5,1
꿀잠,Noun,3,1
꿀잠,Noun,5,6
꿀잼,Noun,5,1
꿀팀,Noun,5,1
꿀팁,Noun,5,2
꿈,Noun,2,1
꿈,Noun,5,3
꿉,Verb,1,1
꿉,Verb,3,1
꿉한,Verb,1,1
꿉한,Verb,3,1
꿔어진,Verb,1,1
끄니,Verb,5,1
끄면,Verb,1,1
끈,Noun,1,1
끈,Noun,4,1
끈,Noun,5,3
끊어,Verb,1,1
끊으시고,Verb,3,1
끌,Noun,1,1
끌,Noun,5,2
끌리는,Verb,5,1
끌수있습니다,Verb,5,1
끌어주셔서,Verb,5,1
끓여,Verb,4,1
끓이게,Verb,4,1
끓이고,Verb,5,1
끓이는,Verb,4,1
끓일,Verb,5,1
끔,Verb,4,7
끔,Verb,5,4
끔찍합니다,Adjective,1,1
끔찍해서,Adjective,2,1
끔찍했어요,Adjective,1,2
끕,Verb,5,1
끕니다,Verb,5,1
끕한,Verb,5,1
끝,Noun,3,2
끝,Noun,4,4
끝,Noun,5,8
끝나,Verb,5,1
끝나게,Verb,2,1
끝나고,Verb,5,3
끝나냐고,Verb,2,1
끝나서,Verb,5,1
끝난,Verb,3,1
끝난다고,Verb,4,1
끝날,Verb,2,1
끝날,Verb,5,1
끝났고,Verb,3,1
끝내고,Verb,5,2
끝내려니,Verb,5,1
끝내주네요,Adjective,5,3
끝내주는,Adjective,5,2
끝내주던,Adjective,5,1
끝내줘서,Adjective,5,1
끝낸,Verb,2,1
끝방,Noun,1,1
끝방,Noun,5,2
끝판,Noun,5,1
끼,Noun,1,1
끼,Noun,3,3
끼,Noun,5,1
끼고있어서,Verb,4,1
끼리,Noun,1,2
끼리,Noun,3,1
끼리,Noun,4,8
끼리,Noun,5,28
끼어,Verb,1,3
끼어있더군요,Verb,3,1
끼어있어,Verb,1,1
낀,Verb,4,1
낀게,Verb,3,1
낌,Noun,1,1
낍고,Verb,4,1
나,Josa,1,15
나,Josa,2,8
나,Josa,3,20
나,Josa,4,29
나,Josa,5,75
나,Noun,1,7
나,Noun,2,3
나,Noun,3,6
나,Noun,4,14
나,Noun,5,25
나가,Verb,1,1
나가,Verb,4,3
나가고,Verb,2,1
나가고,Verb,3,1
나가고,Verb,5,1
나가기,Verb,4,2
나가기가,Verb,5,1
나가는,Verb,4,2
나가는,Verb,5,1
나가는건,Verb,1,1
나가는지,Verb,1,1
나가도,Verb,5,1
나가면,Verb,2,2
나가면,Verb,4,2
나가면,Verb,5,1
나가서,Verb,3,1
나가서,Verb,4,3
나가서,Verb,5,4
나가시,Noun,5,1
나가지,Verb,4,5
나가지,Verb,5,14
나간것,Verb,1,1
나갈,Verb,3,1
나갈,Verb,4,1
나갈,Verb,5,7
나갈꺼라,Verb,1,1
나갔다,Verb,4,2
나갔습니다,Verb,1,1
나갔었는데,Verb,5,1
나게,Verb,5,1
나게끔,Verb,5,1
나고,Verb,1,7
나고,Verb,2,1
나고,Verb,3,2
나고,Verb,4,1
나고,Verb,5,5
나구요,Verb,5,2
나긴,Verb,4,1
나긴,Verb,5,1
나나,Noun,5,1
나네요,Verb,2,1
나네요,Verb,4,1
나네요,Verb,5,1
나네용,Verb,5,1
나누기,Noun,1,1
나누는,Verb,2,1
나누어,Verb,5,1
나눠,Verb,4,1
나눠,Verb,5,1
나눠서,Verb,2,1
나눴는데,Verb,3,1
나눴는데,Verb,4,1
나뉘며,Verb,4,1
나뉨,Verb,1,1
나는거,Verb,3,1
나는데요,Verb,5,1
나는이,Verb,5,1
나니,Noun,1,1
나니,Noun,3,2
나니,Noun,5,2
나니아,Noun,4,1
나니아,Noun,5,2
나다닐,Verb,5,1
나더군요,Verb,3,1
나더군요,Verb,4,1
나더라구요,Verb,4,1
나더라구요,Verb,5,1
나도,Verb,1,1
나도,Verb,3,1
나도,Verb,4,1
나도,Verb,5,2
나들이,Noun,4,1
나라,Noun,4,1
나라,Noun,5,2
나로,Noun,4,1
나로,Noun,5,1
나를,Verb,5,3
나름,Noun,1,3
나름,Noun,3,3
나름,Noun,4,9
나름,Noun,5,11
나머지,Noun,1,4
나머지,Noun,4,2
나머지,Noun,5,2
나머진,Noun,4,1
나면,Verb,5,2
나무,Noun,1,1
나무,Noun,2,2
나무,Noun,3,1
나무,Noun,4,2
나무,Noun,5,2
나무랄데,Verb,4,2
나방,Noun,1,4
나보,Noun,4,1
나비,Noun,5,1
나빠졌음,Verb,3,1
나빴다,Adjective,1,1
나빴습니다,Adjective,1,1
나빴어요,Adjective,4,1
나빴음,Adjective,1,1
나쁘다,Adjective,1,2
나쁘지,Adjective,1,3
나쁘지,Adjective,2,1
나쁘지,Adjective,3,7
나쁘지,Adjective,4,12
나쁘지,Adjective,5,13
나쁘지고,Adjective,3,1
나쁘지는,Adjective,4,2
나쁘진,Adjective,3,1
나쁘진,Adjective,4,1
나쁜,Adjective,4,1
나쁜게,Adjective,4,1
나쁜게,Adjective,5,1
나쁠,Adjective,2,1
나사,Noun,4,1
나서,Verb,1,3
나서,Verb,2,3
나서,Verb,3,2
나서,Verb,4,2
나서,Verb,5,4
나서는,Verb,5,1
나서야,Verb,2,1
나아서,Verb,4,1
나아지긴,Verb,2,1
나아진,Verb,5,1
나았을지,Verb,3,1
나약,Noun,1,1
나오고,Verb,1,2
나오고,Verb,3,2
나오고,Verb,4,1
나오고,Verb,5,5
나오구요,Verb,5,1
나오기,Verb,5,2
나오길,Verb,5,1
나오길래,Verb,4,1
나오냐고,Verb,2,1
나오는,Verb,2,1
나오는,Verb,3,3
나오는,Verb,5,4
나오는거죠,Verb,5,1
나오는데,Verb,1,1
나오는데,Verb,5,2
나오는데요,Verb,3,1
나오더라구요,Verb,2,1
나오려고,Verb,5,2
나오면,Verb,2,1
나오면,Verb,5,2
나오면서,Verb,5,1
나오지,Verb,4,2
나오지도,Verb,1,1
나오지만,Verb,3,1
나온,Verb,4,1
나온거도,Verb,5,1
나온것,Verb,1,1
나온다는,Verb,1,1
나온다면,Verb,4,1
나온다면,Verb,5,1
나올,Verb,1,2
나올,Verb,3,1
나올,Verb,5,2
나올거면,Verb,3,1
나올수도,Verb,4,1
나옴,Verb,1,3
나옴,Verb,4,1
나옴,Verb,5,1
나옵니다,Verb,3,2
나옵니다,Verb,4,1
나옵니다,Verb,5,1
나와,Verb,1,1
나와,Verb,3,1
나와,Verb,5,3
나와서,Verb,1,3
나와서,Verb,2,1
나와서,Verb,4,4
나와서,Verb,5,4
나와서도,Verb,5,1
나와요,Verb,2,1
나와요,Verb,3,1
나와요,Verb,5,4
나와있듯이,Verb,5,1
나와있었구,Verb,1,1
나와있지만,Verb,1,1
나왔네요,Verb,5,1
나왔는데,Verb,1,1
나왔는데,Verb,3,1
나왔는데,Verb,5,1
나왔다,Verb,3,1
나왔습니다,Verb,1,1
나왔습니다,Verb,2,1
나왔습니다,Verb,5,3
나왔어요,Verb,4,1
나왔었는데,Verb,5,1
나왔을,Verb,3,1
나왔을,Verb,5,1
나요,Eomi,2,1
나위,Noun,5,9
나은,Noun,2,2
나은,Noun,4,1
나은,Noun,5,2
나을,Verb,4,1
나을,Verb,5,1
나을거,Verb,4,1
나을듯,Verb,5,1
나이,Noun,1,1
나이,Noun,3,3
나이,Noun,4,1
나이,Noun,5,1
나이스,Noun,5,1
나이트,Noun,4,3
나이트가운,Noun,5,1
나이트클럽,Noun,1,1
나있어,Verb,5,1
나중,Noun,1,3
나중,Noun,3,2
나중,Noun,4,1
나중,Noun,5,9
나지,Verb,4,1
나지,Verb,5,2
나쵸,Noun,4,1
나타나는,Verb,4,1
낙,Noun,4,1
낙점,Noun,5,1
낙후,Noun,2,1
낙후,Noun,3,1
낙후,Noun,5,1
난,Josa,3,3
난,Josa,4,2
난,Josa,5,4
난,Noun,1,1
난,Noun,3,1
난,Noun,4,2
난,Noun,5,5
난건,Noun,5,1
난관,Noun,5,1
난다,Verb,1,1
난다는,Verb,4,1
난다는데,Verb,5,1
난로,Noun,4,1
난리,Noun,5,5
난방,Noun,1,1
난방,Noun,2,2
난방,Noun,3,1
난방,Noun,4,6
난방,Noun,5,6
난입,Noun,1,1
난장판,Noun,1,2
난타,Noun,4,8
날,Noun,1,16
날,Noun,2,1
날,Noun,3,9
날,Noun,4,25
날,Noun,5,55
날라,Verb,2,1
날라,Verb,3,1
날려,Verb,5,2
날렸네요,Verb,5,1
날립니다,Verb,3,1
날벼락,Noun,5,1
날비,Noun,5,1
날뻔,Noun,5,1
날씨,Noun,1,2
날씨,Noun,2,2
날씨,Noun,3,1
날씨,Noun,4,11
날씨,Noun,5,39
날아가는것도,Verb,4,1
날아드는,Verb,4,1
날이었는데,Verb,4,1
날이었어요,Verb,2,1
날인,Noun,5,1
날짜,Noun,4,2
날카롭습니다,Adjective,4,1
낡고,Adjective,2,1
낡다,Adjective,4,1
낡아,Adjective,1,1
낡아,Adjective,2,1
낡아서,Adjective,4,1
낡았,Adjective,4,1
낡았고,Adjective,1,1
낡았다고,Adjective,4,1
낡았다는,Adjective,5,3
낡았어요,Adjective,1,1
낡았어요,Adjective,4,1
낡았으나,Adjective,4,1
낡았음,Adjective,1,1
낡았음,Adjective,4,1
낡았지만,Adjective,3,2
낡았지만,Adjective,4,2
낡은,Adjective,1,1
낡은,Adjective,2,1
낡은,Adjective,4,1
낡은,Adjective,5,1
낡은거야,Adjective,2,1
낡은것,Adjective,5,1
남,Noun,1,4
남,Noun,2,1
남,Noun,3,2
남,Noun,4,5
남,Noun,5,3
남겨,Verb,1,1
남겨,Verb,4,1
남겨도,Verb,1,1
남겨주신,Verb,5,1
남겨줄수있도록,Verb,5,1
남기게,Verb,5,1
남기고,Verb,5,4
남기는데,Verb,5,1
남기려,Verb,5,1
남기면,Verb,1,1
남기셨지만,Verb,1,1
남기진,Verb,5,1
남긴,Verb,3,1
남긴,Verb,5,2
남김,Verb,1,1
남깁니다,Verb,2,1
남깁니다,Verb,5,4
남네요,Verb,4,2
남네요,Verb,5,6
남녀,Noun,5,1
남는,Verb,1,1
남는,Verb,5,7
남는것보다,Verb,5,1
남는게,Verb,5,1
남다른,Adjective,5,1
남다릅니다,Adjective,4,1
남달라,Adjective,5,1
남루해,Adjective,4,1
남성,Noun,5,1
남습니다,Verb,5,3
남아,Noun,1,1
남아,Noun,4,1
남아,Noun,5,3
남아돌아도,Verb,2,1
남아있고,Verb,2,1
남았네요,Verb,5,1
남았습니다,Verb,5,1
남은,Verb,1,3
남은,Verb,4,1
남을거,Verb,5,1
남을듯,Verb,5,2
남을만한,Verb,4,1
남음,Verb,5,1
남자,Noun,1,3
남자,Noun,2,2
남자,Noun,3,3
남자,Noun,4,2
남자,Noun,5,13
남자아이와,Verb,4,1
남자친구,Noun,5,4
남짓,Noun,3,1
남짓한,Adjective,5,1
남쪽,Noun,5,5
남친,Noun,5,2
남편,Noun,1,2
남편,Noun,2,2
남편,Noun,4,2
남편,Noun,5,15
남현우,Noun,4,1
남현우,Noun,5,1
납니다,Verb,1,1
납니다,Verb,3,1
납니다,Verb,4,1
납니다,Verb,5,2
낫습니다,Verb,1,1
낫습니다,Verb,4,2
낫읍니,Noun,4,1
났고,Verb,1,1
났구요,Verb,4,1
났구요,Verb,5,1
났는데,Verb,1,1
났는데,Verb,5,1
났다,Verb,4,2
났던것도,Verb,1,1
났습니다,Verb,1,1
났습니다,Verb,3,3
났습니다,Verb,4,1
났어도,Verb,1,1
났어요,Verb,1,1
났어요,Verb,3,1
났어요,Verb,5,4
났으며,Verb,1,1
났음,Verb,5,1
났지만,Verb,2,1
낭만,Noun,5,1
낭비,Noun,4,1
낭비했네,Adjective,1,1
낮,Noun,1,2
낮,Noun,2,1
낮,Noun,5,13
낮고,Adjective,4,1
낮아서,Adjective,2,1
낮아서,Adjective,3,1
낮아서,Adjective,5,2
낮아짐을,Verb,4,1
낮았지만,Adjective,5,1
낮은,Adjective,2,1
낮은,Adjective,3,1
낮은,Adjective,4,1
낮은,Adjective,5,2
낮음,Adjective,1,1
낮이건,Adjective,5,1
낮잠,Noun,5,1
낮춘,Verb,5,1
낮춘다면,Verb,5,1
낯설어하는,Adjective,5,1
낳아서,Verb,2,1
낳은것,Verb,5,1
낳을,Noun,5,2
내,Determiner,1,3
내,Determiner,3,5
내,Determiner,4,4
내,Determiner,5,9
내,Modifier,1,2
내,Modifier,4,1
내,Modifier,5,1
내,Noun,1,18
내,Noun,2,5
내,Noun,3,15
내,Noun,4,27
내,Noun,5,86
내,VerbPrefix,1,2
내,VerbPrefix,3,2
내,VerbPrefix,5,1
내고,Verb,1,2
내고,Verb,5,4
내고는,Verb,1,1
내관,Noun,5,1
내기,Noun,4,1
내내,Foreign,5,2
내내,Noun,1,1
내내,Noun,2,4
내내,Noun,3,3
내내,Noun,4,3
내내,Noun,5,16
내년,Noun,4,2
내년,Noun,5,5
내노라는,Verb,2,1
내는,Verb,1,1
내는,Verb,3,1
내는게,Verb,4,1
내도,Verb,4,1
내려,Verb,1,1
내려,Verb,5,2
내려가고,Verb,1,1
내려가는,Verb,2,1
내려가는,Verb,4,2
내려가는데,Verb,5,1
내려가더군요,Verb,4,1
내려가든데,Verb,3,1
내려가면,Verb,5,1
내려가서,Verb,3,2
내려가야,Verb,3,1
내려가요,Verb,2,1
내려간,Verb,4,1
내려갔는데,Verb,1,1
내려갔는데도,Verb,4,1
내려갔습니다,Verb,5,1
내려갔어요,Verb,2,1
내려다,Verb,4,4
내려다보는,Verb,5,2
내려다보여서,Verb,5,2
내려다보이고,Verb,4,1
내려서,Verb,4,1
내려서,Verb,5,5
내려앉아서,Verb,1,1
내려앉은,Verb,5,1
내려앉음,Verb,1,1
내려오는,Verb,5,1
내려오면,Verb,5,1
내려오시면,Verb,5,1
내려오신,Verb,5,1
내려와서,Verb,2,3
내려주고,Verb,5,1
내렸는데,Verb,5,1
내렸을,Verb,5,1
내로,Foreign,5,1
내륙,Noun,3,2
내리고,Verb,3,1
내리고,Verb,4,1
내리고,Verb,5,1
내리는,Verb,3,1
내리는,Verb,4,1
내리는,Verb,5,2
내리는데,Verb,5,1
내린,Verb,1,1
내린,Verb,5,2
내릴,Verb,5,2
내면,Noun,1,1
내밀어,Verb,5,1
내부,Noun,1,4
내부,Noun,2,2
내부,Noun,3,5
내부,Noun,4,10
내부,Noun,5,31
내부시,Noun,4,1
내색,Noun,5,1
내서,Verb,4,1
내서라도,Verb,5,1
내실있는,Verb,2,1
내심,Noun,5,1
내야,Noun,2,1
내어,Verb,5,1
내었는지,Verb,3,1
내에,Foreign,5,1
내외,Noun,5,1
내용,Noun,1,3
내용,Noun,4,3
내용,Noun,5,6
내용물,Noun,3,1
내의,Noun,3,1
내의,Noun,4,1
내의,Noun,5,1
내일,Noun,1,3
내일,Noun,5,2
내주신다더라구요,Verb,5,1
내주신다하여,Verb,5,1
낸,Verb,1,1
낸,Verb,5,1
낼,Noun,1,2
낼거면,Verb,1,1
낼내에서,Verb,5,1
냄,Verb,2,1
냄새,Noun,1,28
냄새,Noun,2,13
냄새,Noun,3,22
냄새,Noun,4,21
냄새,Noun,5,13
냄세,Verb,2,1
냄세로,Verb,4,1
냅,Verb,1,1
냅니다,Verb,5,1
냈는데,Verb,2,1
냈다며,Verb,1,1
냉,Noun,4,1
냉,Noun,5,1
냉기,Noun,2,1
냉기,Noun,4,1
냉동,Noun,4,1
냉방,Noun,1,1
냉방,Noun,3,1
냉방,Noun,5,1
냉수,Noun,4,1
냉수,Noun,5,1
냉온,Noun,4,1
냉장,Noun,4,1
냉장고,Noun,1,3
냉장고,Noun,2,1
냉장고,Noun,3,3
냉장고,Noun,4,4
냉장고,Noun,5,8
냉정하게,Adjective,1,1
냉탕,Noun,4,1
냉탕,Noun,5,1
냐,Josa,2,1
냥,Josa,3,1
너,Modifier,1,1
너,Modifier,4,4
너,Modifier,5,10
너,Noun,1,1
너,Noun,3,1
너,Noun,5,6
너덜너덜해서,Adjective,1,1
너른,Noun,5,1
너머,Noun,4,2
너머,Noun,5,1
너무,Adverb,1,25
너무,Adverb,2,36
너무,Adverb,3,31
너무,Adverb,4,142
너무,Adverb,5,760
너무나,Adverb,1,2
너무나,Adverb,3,1
너무나,Adverb,4,6
너무나,Adverb,5,31
너무나도,Adverb,1,1
너무나도,Adverb,2,3
너무나도,Adverb,3,1
너무나도,Adverb,5,10
너무도,Adverb,5,5
너비,Noun,3,1
넉넉하게,Adjective,5,3
넉넉하고,Adjective,5,4
넉넉하지는,Adjective,4,1
넉넉하진,Adjective,4,1
넉넉한,Adjective,4,1
넉넉한,Adjective,5,4
넉넉함까지,Adjective,3,1
넉넉해,Adjective,5,1
넉넉해서,Adjective,4,1
넉넉히,Adjective,5,1
넋,Noun,5,1
널,Noun,3,1
널,Noun,5,1
널도,Verb,3,1
널려,Verb,1,1
널린,Noun,5,1
널브러져,Noun,3,1
널찍널찍,Adverb,4,1
널찍하고,Adjective,5,3
널찍하니,Adjective,5,1
널찍한,Adjective,1,1
널해,Verb,1,1
넒,Noun,5,1
넓,Adjective,4,1
넓게,Adjective,4,1
넓게,Adjective,5,1
넓고,Adjective,3,2
넓고,Adjective,4,17
넓고,Adjective,5,58
넓구요,Adjective,4,1
넓다,Adjective,5,4
넓더라구요,Adjective,5,1
넓습니다,Adjective,1,1
넓습니다,Adjective,3,2
넓습니다,Adjective,5,3
넓어,Adjective,4,2
넓어,Adjective,5,5
넓어서,Adjective,3,4
넓어서,Adjective,4,11
넓어서,Adjective,5,17
넓어요,Adjective,5,1
넓었고,Adjective,4,1
넓었고,Adjective,5,1
넓었다,Adjective,1,1
넓었다,Adjective,5,1
넓었습니다,Adjective,5,3
넓었어요,Adjective,5,2
넓었으면,Adjective,4,1
넓었으면,Adjective,5,1
넓었음,Adjective,4,1
넓으네요,Adjective,5,1
넓으며,Adjective,4,1
넓으며,Adjective,5,2
넓은,Adjective,2,1
넓은,Adjective,3,4
넓은,Adjective,4,10
넓은,Adjective,5,23
넓은데,Adjective,4,1
넓음,Adjective,5,1
넓지,Adjective,3,1
넓지,Adjective,5,1
넓지는,Adjective,4,2
넓지만,Adjective,5,1
넓진,Adjective,3,2
넓진,Adjective,5,1
넓혀,Verb,5,1
넘,Verb,1,4
넘,Verb,2,1
넘,Verb,4,14
넘,Verb,5,82
넘게,Foreign,1,1
넘게,Verb,1,2
넘게,Verb,4,1
넘게,Verb,5,3
넘겼지만,Verb,4,1
넘긴,Verb,4,1
넘나,Verb,3,1
넘나,Verb,5,11
넘나리,Verb,4,1
넘는,Verb,3,1
넘는,Verb,5,1
넘어,Verb,2,2
넘어갔지만,Verb,1,1
넘어도,Verb,1,1
넘어도,Verb,3,1
넘어서,Foreign,1,1
넘어서,Foreign,4,1
넘어와서,Verb,5,1
넘어왔는데,Verb,5,1
넘어져,Verb,5,1
넘어져서,Verb,3,1
넘어질,Verb,1,1
넘어질,Verb,4,1
넘예브구,Noun,4,1
넘치는,Adjective,3,1
넘치는,Adjective,5,1
넣는,Verb,4,1
넣어도,Verb,4,1
넣어주셔서,Verb,5,1
넣어주셨는데,Verb,1,1
넣을,Verb,4,1
네,Determiner,1,1
네,Determiner,2,2
네,Determiner,4,2
네,Determiner,5,5
네,Josa,5,1
네,Modifier,1,3
네,Modifier,3,1
네,Modifier,5,1
네,Noun,3,2
네,Noun,4,1
네,Suffix,1,2
네,Suffix,4,3
네,Suffix,5,15
네미,Noun,5,1
네스카페,Noun,5,1
네요,Eomi,5,1
네이버,Noun,5,1
네트,Noun,4,1
네트,Noun,5,1
넷이,Noun,5,1
넷플릭스,Noun,4,1
년,Noun,4,2
년,Noun,5,9
년도,Noun,4,1
년도,Noun,5,1
년전,Noun,4,1
년전,Noun,5,1
노,Noun,4,2
노,Noun,5,4
노곤,Noun,5,3
노골,Noun,3,1
노는것,Verb,5,1
노는게,Verb,5,1
노는데,Verb,5,2
노는데도,Verb,5,1
노는데에는,Verb,5,1
노는지,Verb,5,1
노래,Noun,1,1
노래,Noun,4,1
노래,Noun,5,3
노래방,Noun,5,2
노랫소리,Noun,5,2
노력,Noun,1,1
노력,Noun,2,2
노력,Noun,3,1
노력,Noun,4,2
노력,Noun,5,4
노루,Noun,4,1
노릴,Verb,5,1
노선,Noun,5,1
노소,Noun,5,1
노을,Noun,5,6
노천,Noun,5,2
노천온천,Noun,5,1
노출,Noun,1,1
노출,Noun,3,1
노출,Noun,4,1
노출해,Adjective,1,1
노크,Noun,1,1
노트북,Noun,5,1
노형동,Noun,5,1
노화,Noun,4,1
노후,Noun,1,4
노후,Noun,3,3
노후,Noun,4,8
노후,Noun,5,2
노후하기도,Adjective,1,1
노후한,Adjective,1,1
노후해서,Adjective,4,1
녹,Noun,5,1
녹색,Noun,1,1
녹슨,Noun,1,2
녹슬어서,Verb,3,1
녹아,Verb,5,1
녹음,Noun,1,1
녹음기,Noun,5,1
녹이구,Verb,5,1
녹차,Noun,3,1
녹차,Noun,4,1
녹취,Noun,1,1
녹취확,Noun,1,1
논다고,Verb,5,1
놀,Noun,3,1
놀,Noun,4,8
놀,Noun,5,16
놀거,Verb,5,2
놀것,Verb,5,1
놀것도,Verb,4,1
놀것이,Verb,5,1
놀고,Verb,3,1
놀고,Verb,4,3
놀고,Verb,5,14
놀기,Verb,3,3
놀기,Verb,4,2
놀기,Verb,5,18
놀기도,Verb,4,1
놀기도,Verb,5,3
놀기로,Verb,5,1
놀기보다는,Verb,3,1
놀기에,Verb,3,1
놀기에,Verb,4,1
놀기에,Verb,5,5
놀기에는,Verb,4,1
놀기에는,Verb,5,3
놀기에도,Verb,5,2
놀기엔,Verb,1,1
놀기엔,Verb,5,2
놀꺼리,Verb,5,1
놀다,Verb,3,1
놀다,Verb,4,4
놀다,Verb,5,11
놀다가,Verb,5,3
놀다가네요,Verb,5,1
놀다가요,Verb,5,2
놀더군요,Verb,5,1
놀라,Verb,1,1
놀라,Verb,3,1
놀라,Verb,5,2
놀라건,Verb,1,1
놀라고,Verb,5,7
놀라울,Verb,5,2
놀라울만큼,Verb,5,1
놀라웠습니다,Adjective,5,1
놀라웠어요,Adjective,5,1
놀란것은,Verb,5,1
놀람,Noun,3,1
놀랍군요,Verb,1,1
놀랍니다,Verb,5,2
놀랍다,Verb,4,1
놀랐고,Verb,5,1
놀랐네요,Verb,3,1
놀랐다,Verb,5,1
놀랐던,Verb,4,2
놀랐습니다,Verb,5,3
놀랐어요,Verb,4,1
놀랐어요,Verb,5,3
놀랬고,Adjective,3,1
놀랬고,Adjective,4,1
놀랬구요,Adjective,5,1
놀랬습니다,Adjective,5,2
놀랬어요,Adjective,4,1
놀랬어요,Adjective,5,2
놀랬음,Adjective,2,1
놀러,Verb,3,1
놀러,Verb,4,4
놀러,Verb,5,15
놀러와,Noun,5,3
놀면서,Verb,5,1
놀수,Noun,4,1
놀수,Noun,5,3
놀수있어서,Verb,5,1
놀아,Verb,5,1
놀아도,Verb,5,3
놀아서,Verb,3,1
놀아요,Verb,5,1
놀았네요,Verb,5,9
놀았다,Verb,5,1
놀았답니다,Verb,5,1
놀았습니다,Verb,5,5
놀았어요,Verb,4,2
놀았어요,Verb,5,11
놀았음,Verb,4,1
놀이,Noun,1,1
놀이,Noun,3,1
놀이,Noun,4,8
놀이,Noun,5,17
놀이,Suffix,3,1
놀이,Suffix,5,2
놀이기구,Noun,4,5
놀이기구,Noun,5,5
놀이동산,Noun,4,1
놀이동산,Noun,5,3
놀이터,Noun,4,2
놀이터,Noun,5,8
놀자에서,Verb,5,1
농약,Noun,5,1
높고,Adjective,4,2
높고,Adjective,5,2
높고요,Adjective,5,1
높다,Adjective,5,1
높다고,Adjective,4,1
높습니다,Adjective,5,1
높아,Adjective,4,1
높아,Adjective,5,3
높아서,Adjective,3,1
높아서,Adjective,5,1
높아졌습니다,Verb,5,1
높았던,Adjective,5,1
높았습니다,Adjective,5,3
높았으면,Adjective,5,1
높았지만,Adjective,1,1
높여,Verb,5,1
높으니,Adjective,5,1
높으셔서,Adjective,5,1
높은,Adjective,1,1
높은,Adjective,2,3
높은,Adjective,3,2
높은,Adjective,4,5
높은,Adjective,5,12
높은걸,Adjective,4,1
높은듯,Adjective,5,1
높음,Adjective,5,1
높이,Noun,1,2
높이,Noun,3,1
높이,Noun,5,3
높이려고,Verb,5,1
높지,Adjective,3,1
높지,Adjective,4,1
높지는,Adjective,4,1
놓,Verb,1,1
놓,Verb,4,1
놓고,Verb,1,2
놓고,Verb,5,5
놓구,Verb,1,1
놓아서,Verb,5,1
놓아주셨어요,Verb,5,1
놓아주시는,Verb,5,1
놓여,Verb,1,1
놓은,Verb,4,1
놓을,Verb,4,1
놓을,Verb,5,1
놓이고,Verb,5,1
놓지,Verb,3,1
놓쳤다,Verb,5,1
놓치지,Verb,4,1
놓칠,Verb,5,1
놔두고,Verb,5,1
놔서,Verb,1,1
놔서,Verb,3,1
놔서,Verb,4,1
놨다,Noun,1,1
누,Noun,3,1
누,Noun,5,1
누가,Noun,1,4
누가,Noun,5,1
누구,Noun,1,2
누구,Noun,5,4
누군가,Noun,1,1
누군가,Noun,2,1
누군가,Noun,4,1
누군가,Noun,5,4
누락,Noun,1,1
누락,Noun,3,1
누런떼,Noun,1,1
누렇다못해,Noun,2,1
누려,Verb,5,1
누르지,Verb,4,1
누리,Noun,5,1
누리기에,Verb,3,1
누리는,Verb,5,1
누리니,Verb,5,1
누리시고,Verb,5,1
누리시려면,Verb,5,1
누릴,Verb,5,1
누릴수,Verb,5,1
누수,Noun,1,1
누워,Verb,5,3
누워서,Verb,5,1
누워있는지,Verb,1,2
누웠지만,Verb,3,1
눅눅하고,Adjective,2,1
눈,Noun,1,3
눈,Noun,2,1
눈,Noun,3,1
눈,Noun,4,2
눈,Noun,5,15
눈떠,Verb,4,1
눈뜨자마자,Verb,5,1
눈살,Noun,3,1
눈살,Noun,5,1
눈쌀,Noun,4,1
눈앞,Noun,5,4
눈치,Noun,5,5
눕는것과,Verb,1,1
눕자마자,Verb,5,1
뉘,Noun,5,1
뉘일,Noun,5,1
뉴곳,Noun,5,1
느,Noun,1,1
느긋,Noun,4,1
느긋하게,Adjective,3,1
느긋하게,Adjective,4,1
느껴,Verb,5,4
느껴져서,Verb,5,1
느껴져요,Verb,5,1
느껴졌는데,Verb,5,1
느껴졌다,Verb,2,1
느껴졌다,Verb,5,1
느껴졌습니다,Verb,1,2
느껴졌습니다,Verb,5,5
느껴졌어요,Verb,5,1
느껴졌음,Verb,4,1
느껴졌지만,Verb,4,1
느껴지,Verb,5,1
느껴지고,Verb,2,1
느껴지고,Verb,5,1
느껴지네요,Verb,1,1
느껴지네요,Verb,5,1
느껴지는,Verb,2,1
느껴지는,Verb,4,1
느껴지는,Verb,5,2
느껴지지,Verb,5,1
느껴진,Verb,5,2
느껴진다,Verb,5,1
느껴질,Verb,4,1
느껴짐,Verb,5,1
느껴집니다,Verb,1,1
느껴집니다,Verb,5,2
