no,nickname,text,score,like,time,hotel,grade,stay
556,현우 김,"일단 서비스와 시설은 제주도 내에서 최고인 것 같다. 가격은 높은 편이지만 그만한 가치가 있으며, 특히 아이가 있는 가족단위 투숙객에게는 다양한 즐거움이 있다.",5,10,2019.03,제주신라호텔,5,2019.03
557,만두09,"윈터패키지로 풀사이드바 인생짬뽕, 조식, gao 포함된 상품을 구입해서 2박 있었어요 신라호텔 좋은거야 다 알지만 2월에 야외수영은 많이 추웠어요 물은 따뜻했지만 바람이 부니까 춥더라구요 애기 데리고 오신분들 자쿠지에서 벗어나질 못했어요 인생짬뽕, 훌륭한데 20분 이상 기다려야 됐어요 수영하다 먹기 좋았는데 기다리다 감기들뻔...",3,6,2019.02,제주신라호텔,5,2019.02
558,스니커즈짱,제주도에서 가장 괜찬은 호텔.. 친절한 스탭들.. 그리고 자유로운 수영장이용.. 조식과 런치 뷔페 맛있음 편하게 쉴수 있는 가족단위 호텔입니다,4,5,2019.02,제주신라호텔,5,2019.02
559,Sunshinethesunshines,"오래된 느낌의 객실이지만, 깨끗하고 욕실이 아주 넓습니다. 직원들은 매우 친절하였고, 객실의 뷰는 다소 아쉬웠습니다. (주차장 뷰)",5,1,2019.01,제주신라호텔,5,2019.01
560,BlackStar_Lazarus,장점 1. 즐길거리가 많다. play station도 할 수 있고 좋다. 키즈카페 같은 것도 있던데 애를 데리고 오건 연인끼리 오건 무엇을 하던 호텔 안에서 즐겁게 시간을 보낼 수 있다. 2. 수영장 운영을 12시까지 한다. 어린이들이 9시 이후면 대부분 들어가는데 그때부터 넓은 풀에서 수영을 신나게 할 수 있다. 3. 정원이 참 잘 꾸며져있다. 산책하기도 좋다. 신라호텔은 들어와서 호텔에서만 시간을 보내야한다. 다른데 돌아다니면 돈아까워서 안됨. 단점 1. 주차장이 너무 작다. 투숙객 외에도 하도 많이 찾아와서 그런듯... 2. 방이 좀 오래됐다. 바닥에 깔린 카펫도 뭐 비싼거 깔았겠지만 그냥 걷어내고 마루 까는게 더 좋지 않을까? 3. 사람이 너무 많음... 그 밖의 tip 1. Pool side bar에서 짬뽕 먹으라고 하는데 굳이... 굳이 안먹어봐도 되는 맛 입니다. 뭐 그렇게 맛있지 않습니다. 하나 시켜서 둘이 나눠먹겠다면 뭐...암튼 그다기 추천하지 않음 2. 마찬가지로 Pool side bar에서 와규햄버거... 안먹어도 된다. 패티도 두껍고 뭐 다 좋은데 별로 값어치를 못하는 것 같다. 햄버거는 좀 다시 개발할 필요가 있지 않을까? 비추임 3. adult pool은 물이 더 맑아 보인다. 분위기가 좋다. 연인과 함께 가면 좋다. 하지만 좀 작은 느낌이다. 4. 조식은 너무 가짓수가 많다. 그리고 특별히 맛있는 것도 없다.(맛없다는 것은 아님) 조식은 부영이 더 좋다는 느낌임. 8시넘어서 오면 대기줄 엄청남.,4,54,2019.01,제주신라호텔,5,2019.01
561,Yun,방의 소파에 지퍼는 망가져있었고 수영장의 안전바도 망가져 흔들거렸으며 마루느 썩어있고 냉장고에 먹다남은 삼다수 페트병이 반기고있었으며 침실은 방음이 하나도 되지 않아 옆 방 사람의 핸드폰소리부터 대화내용까지 하나도 빠짐없이 들을 수 있었고 침실은 환기가 안돼서 쾌쾌한 냄새가 나고 침대는 스프링이 낡아 허리가 아팠다. 호텔에 2박하고 170만원을 지불했는데 내 생애 제일 돈 아까운 여행비용이다,1,0,2020.09,베이힐 풀앤빌라,4.5,2020.09
562,aozoara,"4인 가족으로 아이들이 개인 풀에서 수영을 하고 쉬기 좋았습니다. 독채빌라는 좀 크기도했기에 개인 수영장이 있는 복층룸을 예약했는데 좋은 선택이었습니다. 다만 룸내 시설이 약간 노후되어 이점은 고려해 두심이 좋겠습니다. 직원 모두 친절하고, 스파나 레스토랑 쿠폰과 이용권 등으로 시설 사용도 만족스러웠습니다. 위치도 둘레길 8번근처인데, 걷기 좋고 중문단지와도 멀지 않아 좋았습니다",4,10,2020.07,베이힐 풀앤빌라,4.5,2020.07
563,영미 정,객실도 깨끗하고 주변도 조용하다 널직하고 조명도 예쁘다 주차장도 잘되어있다 다만 직원들의 친절함이 좀 아쉽고 시설이 다양하지 안아 호텔 내에서는 즐길 거리가 없다,3,5,2019.08,베이힐 풀앤빌라,4.5,2019.08
564,Venture15653612116,친구들과 함께 찾은 베이힐풀앤빌라. 몇년전 가족들과 함께하고 늘 또 가고 싶었던 곳! 이번엔 친구들과 함께! 여전히 깨끗하고 기분좋게 힐링하기 딱이예요. 예쁜 빌라동 구경하며 산책하기도 좋았구요.다시 또 꼭! 좋은사람들과 찾고 싶어요.,5,1,2019.06,베이힐 풀앤빌라,4.5,2019.06
565,michelle lim,미국에서 오랜만에 한국방문해서 친구들과 제주에서 멋진 추억 보냈어요. 중문 관광단지에서도 가깝고 숨은 보석같은 곳이네요. 깨끗하고 아늑한 룸과 편안한 시설들이 정말 좋네요 노래방도 있어요. 풀과 자쿠지도 좋았고 전망도 좋았네요. 직원분들의 친절하고 자상한 서비스도 정말 감사했어요. 6월의 날씨에 맛있고 멋진 식사도 잊을수 없을것 같네요. 좋은 시간 보냈습니다 다음에 또 오고 싶네요.,5,1,2019.06,베이힐 풀앤빌라,4.5,2019.06
566,마마짱,여고동창 친구들과 30여년만에 좋은 시간 보내고 왔어요 한적하고 주변환경도 좋고 빌라 컨디션도 깨끗하고 좋아서 제대로 힐링하고 왔네요 같이 있는 나니아레스토랑도 제주도 맛집으로 유명하다고 하네요~,5,2,2019.06,베이힐 풀앤빌라,4.5,2019.06
567,트립로라,"1년 전까지만 해도, 제주도 갈때마다 베이힐 케슬에서 숙박했어요. 그만큼 좋고, 꼭!! 아무리 비싸도 베이힐만 갔어요지짜 좋아요!!!!! 다 좋았지만, 나니아 레스토랑의 그렇게 맛있던 음식이 뷔페로 바뀌면서 못가게 됬어요.할아버지께서 너무 그곳을 좋아하셨는데, 좀 음식에 대한 그런게 있으셔서... 물론 저한텐 페러다이스였지만... 음식땜에 다신 안가시거든요.ㅠㅠ 다 좋지만 음식만은.....제발 다시 고급으로 바귀었으면...바뀌면 약속 하건데, 제주도 갈때마다 베이힐로 가겠어요!!",4,0,2019.02,베이힐 풀앤빌라,4.5,2019.02
568,kauai12,"중문에 비해 비교적 한적한 대평포구 쪽에 위치해 있고 대평리 마을과 태평양이 내려다 보이는 전망. 한적한 곳에서 느긋하게 휴가를 즐길수 있어요. 관광지의 번잡함은 없어요. 객실상태는 최상은 아니지만 복층이라 애들이 좋아하고 복층 통창이라 개방감이 좋고 전망이 좋은편입니다. 객실상태나 서비스, 부대시설이 별로 없는 점을 생각하면, 중문의 특급호텔과 비슷한 가격이라 가성비가 그리 높지는 않으것 같아요",4,3,2019.01,베이힐 풀앤빌라,4.5,2019.01
569,hyemin,홈페이지 사진보다 실물이 훨씬 좋은 곳이에요.. 직원분들 서비스 또한 너무 감사했습니다 ^^ 그리고 자쿠지가 야외에 있어 따뜻한물속에서 정원을 보며 물놀이 한 게 기억에 남네요 저녁은 나니아레스토랑에서 먹었습니다 먹으면서도 다 먹고 내려오는 길에 뷰가 너무 멋있었습니다 또 가고싶은 이유 중 하나인 이유인거 같네요~ 다음에 또 제주도 여행간다면 꼭 베이힐재방문 하고싶어요 덕분에 좋은여행을 무사히 맞췄던 것 같아요,5,0,2019.01,베이힐 풀앤빌라,4.5,2019.01
570,Jay Nam,"제주신화월드 내 몇 리조트와 호텔 가운데 하나. 메리어트입니다. 규모도 크고 공간과 인테리어 모두 시원시원하고 멋있습니다. 많은 호텔리어분들 어디서 만나든 친절하고 friendly합니다. 6층의 호텔이지만 객실수가 많습니다. 룸은 깨끗하고 정비가 매우 잘 되어 있습니다. 냉장고의 미니바는 매일 무료입니다. 욕실비품은, 태국스파 THANN입니다. 오랜만에 태국에 온 기분좋은 느낌입니다. 물놀이시설이 훌륭해서 아이들 동반한 가족들이 많고 객실점유율이 매우 높은듯 사람이 많습니다. Bedding이 청결하고 새것에 가까울만큼 관리도 잘되고 숙면에 도움이 되었습니다. 처음 온 메리어트제주신화월드. 제주에 오면 계속 묵게 될 것같습니다",5,55,2020.09,메리어트관 제주신화월드 앤 리조트,5,2020.09
571,Byonghwan K,체크아웃을 하고 돌아오면 감동의 여운이 오래가는 호텔은 드물지만 제주신화메리어트호텔은 매우 만족스러웠던 느낌들로 며칠 더 묶고 싶었고 꼭 다시 묶고 싶은 호텔이었다 호텔입구 부터 체크인을 도와준 Hannah(김나영)씨는 우리 가족들이 특별한 시간을 지낼 수 있게 최대함의 배려와 억지스러운 진철이 아닌 절도있는 친절에 절로 기분이 좋았었다 무척 바쁜 와중에도 호텔이용에 대해 가족에게 설명하듯 또박또박 찬찬하게 안내를 해주어서 묶는 5일 동안 데스크를 다시 방문할 필요가 없었다 매일 냉장고에 채워주는 맥주와 음료수 넉넉하게 주는 생수 불편함이 없었다 집에 있는 느낌이었다 좋은 메트리스 깨끗한 침구와 수건들로 쾌적함을 느꼈고 수영장 바닥도 미끌거리지 않은 것을 보니 위생과 청결에 무척이나 세심하게 관리하는 것 같아서 안심이 되었고 호텔조식은 어느 곳을 가든지 비슷한 메뉴로 기대하지 않았는데 이 곳의 조식은 매일 매일 메뉴에 변화를 주었고 한식과 양식의 적절한 조화와 맛있는 음식들 게다가 쉐프들의 친절''' 놀라움을 감출수가 없었다 제주 신화메리어트호텔=친절 청결 맛난음식 이 번 여행의 호텔 선택은 백점짜리였다,5,0,2020.09,메리어트관 제주신화월드 앤 리조트,5,2020.09
572,Vivian,"좋지만 정말 별로였던 곳 장점 1.프런트 및 컨시어지 직원들이 매우 친절했어요 2.객실도 깔끔하고 넓고 편안하게 투숙을 하였습니다 3. 수영장도 크고 가족단위로 오기에 좋은 곳 4. 식당이나 즐길거리가 많이 좋았습니다 단점 1.어메니티가 빈곽만 비치되어 있었고 안에 내용물이 없어 다시 요청을 했어야했습니다. 2.수영장 및 프런트로 가는 길이 조금 멀었습니다. 3.물에서 냄새가 살짝 났습니다. 호텔은 전박적으로 매우 좋았으며, 다음에 제주도 여행을 한다면 재방문할 계획입니다. 다만, 신화월드 고객센터 직원의 서비스가 매우 안좋아서 5점만점을 드릴 수 없을거 같네요... 체크아웃 후 분실물 때문에 연락을 드렸었는데 처음 전화 응대 했던 담당직원 자리 비웠으니 콜백 드릴게요 라고 말하시더라구요...짜증 섞인 목소리로 저는 진행 상황을 여쭤본건데 그냥 제 말 끊으시고 또 콜백드릴게요 하시더라구요...고객한테 짜증내는 곳은 또 처음이네요 좋았던 호텔 기억과 제 기분도 안좋아졌지만 그래도 분실물 끝까지 책임져주시고 걱정해주신 메리어트 컨시어지 직원분 정말 감사합니다!!",3,0,2020.08,메리어트관 제주신화월드 앤 리조트,5,2020.08
573,Han,"워터파크와 테마파크가 있어서 신화월드에서 1박을 하려고 찾아보다가, 메리어트로 결정했는데~정말 잘한 선택!! 직원들이 친절한것도 물론이고 코로나때문에 가기전에 걱정했는데 가는곳곳 마다 열체크와 소독도 하고 안심했습니다! 메리어트 최고메리트는 모실수영장을이용할수 있는건데요~ 시간도 7시부터 운영해서 정말 아이와 뽕을뽑았답니다~ 중간에 전화를 몇번했는데 대응도 빠르고 서비스도 굳!입니다. 조만간 다시 숙박하려고 합니다!",5,0,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.07
574,a099139,제주 신화월드 서머셋은 여러번 이용해 봤지만 호텔 이용은 처음이었어요. 랜딩관 메리어트관 신화관 여럿이 있고 비슷해 보여서 고민을 했지만 메리어트 본보이 회원이기에 메리어트관을 예약했습니다! 5성급 호텔답게 로비 들어서는 입구에서부터 뛰어나오셔서 무거운 짐 보관해 주시고 체크인 줄이 길었지만 머리 웨이팅 걸어놓고 소파에서 편하게 기다렸다 체크인 할 수 있었습니다. 2층. 수영장이 보이는 룸이었는데 수영장 뷰가 나름 재미있었어요~ 방은 넓고 쾌적하고 미니바 이용할 수 있어서 좋았습니다. 특별히 좋았던건 욕조였어요~ 반신욕 하기 좋게 섬세하게 디자인된 욕조였고 반신욕 하는 동안 TV도 시청할 수 있었습니다. 샤워기 앞에는 친절하게 의자도 있어서 엄마랑 여행하기 너무 좋았어요! 엄마는 욕실에 홀딱 반하셔서 나중에 리모델링 할때 참고한다고 사진도 찍어 오셨습니다. 넓은 서머셋에도 반했지만 호텔은 또 호텔다운 편안함이 있네요 *_* 제대로 대접받는 느낌 엄마 모시고 갔는데 너무 만족스러웠습니다!,5,0,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.07
575,JamieGOGO,"지난주 제주도 여행을 다녀왔습니다. 제주 신화월드 메리어트에 5박6일동안 스테이했고, 가기전에는 5박을 한군데있게되면 혹여나 지겹지않을까 중간에 다른 호텔이나 리조트로 옮겨야하나 고민도 많이했는데 쭉~이곳에만 있었던건 정말 탁월한 선택이었다고 생각합니다. 좋았던점을 써보자면 일단 위치가 참 좋습니다. 제주도 관광지가 은근 서쪽 남쪽에 많더라고요~ 중문도 가깝고 공항에서 갈때도 도로가 잘연결되어있어 편했습니다. 수영장은 저녁에 스카이풀만 이용했는데 크고 예쁘게 잘만들어놨더라고요. 물도 따뜻해서 춥지 않아 너무 좋았습니다. 무엇보다 마음에 들었던건 조식이었습니다. 매일 조금씩 바뀌는 메뉴도 있고 종류가 다양하면서도 맛있어서 5번을 먹었는데 지겹지 않았어요+_+ 장마철에 방문한거라 비오면 할게 마땅치않을것같아 걱정했는데요, 신화월드 리조트 자체가 워낙 크다보니 그안에서만 있어도 시간이 잘갑니다. 수영하고 밥먹고 쇼핑하고~ 리조트내에서 모두 해결가능해요. 비와도 걱정없게해준 제주 신화월드 메리어트! 또 갈게요^^",5,3,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.07
576,peach,"제주메리어트는 처음 방문이었습니다 주위의 반응대로 약간의 기대? 와 함께 방문 하였으며 역시나 듣던데로 객실 수영장 각종편의시설직원응대 등등너무 좋았습니다 코로나 때문에 여러가지 운영적인 면은 축소되었겠지만 밀려오는 손님들로 인해 힘들법도 한데 미소로 일관하는 직원들께 감동 받았습니다 . 체크인 도와주셨던분 , 방 한번 옮길때도 응대해주셨는데 아쉽게도 이름 메모한게 분실됐네요.친절하게 맞이해주셔서 너무 감사했습니다.",5,7,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.07
577,hyeyoung,"1박 투숙했어요 ㅎ 처음에 차에서 내리는데 짐 내려주고 더 내릴짐 없냐고 친절하게 물어봐줬어요. 물놀이 직후에 방문해서 로비가 좀 추웠는데, 바로 체크인 할수 있게 도와주고, 체크인 하는 동안에도 마스크로 가리긴 했지만 웃는 얼굴로 응대해주셨어요. 아이가 둘이라 침대 큰사이즈.있는 방으로 배정받았어요 ㅎ 1층이긴 했지만 괜찮았습니다 ㅎ 주차는 바로 임시 카드키 받고 지하에 주차했어요 ㅎ 수영장은 두곳 이용했어요, 모실수영장은 제가 갔던날은 밖은 추웠고 안은 따뜻했어요 ㅎ 스카이풀은 물 온도가 따뜻해서 아이들과 함께하기 좋았어요 ㅎ 사진 찍기도 좋은 곳이였어요 ㅎ사진안찍는 사람이 자꾸 찍어달라고 할만큼 ㅋㅋ 수건도 저희가 갔을땐 없어서 요청했더니 바로바로 채워주더라구요, 스카이풀 자체가 온수이긴 한데 그래도 추우면 자쿠지 들어가고 수영장 쉬는 시간엔 사우나 들어가고 그러면서 한참 놀았어요 ㅋ 거기서 치킨, 감튀 먹었는데 맛도 좋았어요 ㅎ 나중에는 단체 관광객으로 보이시는 분들이 사진찍고 좀 시끌시끌 해서 나왔습니다 ㅠ 신화월드가 엄청 넓어서 저녁에는 이곳저곳 둘러보고 밥먹고 그러면서 시간 보내기 좋았어요, 조식은 좀 늦게 가서 대기했어요 ㅎ 아이둘 조식포함 패키지였는데 조식당에서 혹시모르니 체크아웃할때 한번더 확인하라고 세심하게 챙겨주셨어요, 물론 결재할때 계산은 딱 맞았구요, 가족과 함께 가서 즐거운 시간 보내고 왔어요 ㅎ",5,0,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.07
578,쭈운마앙,"둘째 태교여행으로 메리어트관 2박 묵었어요 :) 첫째 태교여행 때는 여기저기 돌아다니는 일정으로 짰었는데 이번엔 첫째를 데리고 다녀야하니 동선이 긴 일정은 무리다싶어 호텔안에서 모든 활동이 가능한 일정으로 짰어요. 마침 첫째가 좋아하는 캐릭터 라바로 꾸며진 라바파크 신화월드도 있어 최고의 태교여행이 되었답니다! 동선이 짧으니 렌트카도 안했는데 공항에서 호텔까지 태워주는 리무진도 운영되고있어 문제 없었어요^^ 일단 규모가 어마무시하고 안에 없는게 없을 정도로 지내기 정말 편리했어요. 호텔 룸 컨디션과 직원 서비스도 최고였구요. 다녀온지 일년이 지나가지만 첫째가 아직도 "" 제주도 호텔 또가자엄마~~~ ""라고 한답니다 ㅎㅎ 이번여름 둘째 돌 기념여행으로 재방문 계획하고있어요. 이번엔 새로오픈한 신화관으로 가볼려구요",5,0,2020.07,메리어트관 제주신화월드 앤 리조트,5,2019.08
579,A rum,방문ㅡ2020.6.30-7.3 급체로 응급실갔다가 호전되지않아서 아들과 신랑만 먼저 보냈습니다. 너무 좋다고~~어서오라는 성화에 제주행을 취소했다가 하루뒤에 제주에 왔어요.. 도착하여 너무 넓은 사이즈의 리조트 놀랐고 방문열면 커텐이 알아서 열리는거 보고 올~~ㅎㅎ 테마파크 라바사이즈에 두번 놀랐어요..요즘라바에 빠져있는 22개월아기가 테마파크 구석구석 쫒아다니며 좋아했어요.^^ 메리어트올인월드로 구매하여 조.석식을 먹었는데 조식은 랜딩관에서 먹었습니다.메리어트관에서 운동삼아걸어가면 나와요ㅎ 석식은 제주선 맛있어요~ &중식당 에서 갈치구이정식 최고였어요.. 워터파크는 다른곳에서는 볼수없는 지구탱탱볼???? 너무신나게 잘 놀아준9세 아들입니다. 공식홈페이지에서 예약하니 메리어트관 올인월드 연박에 한하여 2만원상당 라바 기프트셋뚜까지 야무지게 받아왔습니다!! 다시 제주를 찾는다면 재방문의사 ♡있습니다. 이번여름은 아이들과 모든것이 다있는 제주신화월드로 휴가떠나보세요. 또 가고싶네요. 미흡한점을 굳이 꼽자면.. 1.메리어트1층엔 베란다가 없어서 수영복 정리할곳이 마땅치않아요. 건조대있음 좋을듯. 2.4인가족이 머물기엔 침대사이즈가 다소 작아요ㅜ더블+더블 있음 좋겠어요. 3.편의시설들이 일찍문닫거나 너무멀게 느껴져요(예.스벅과 편의점) 4.위터파크 야외풀과 유수풀 온도가 28도이던데 아이랑 놀기엔 차갑게 느껴졌어요.,5,0,2020.07,메리어트관 제주신화월드 앤 리조트,5,2020.06
580,MUNJEONGHUN,6월 둘째주 메리어트 2박 가족이 투숙했습니다 메리어트 플레티늄 멤버입니다 전세계 많은 호텔을 다니지만 아주 훌륭한 소프트웨어와 하드웨어를 가진 멋진 호텔입니다 오픈 3년이 지났어 인제 확실히 소트웨어가 자리 잡힌 모습입니다 메리어트 앱 체크인으로 체크인하고 어머니 생신이라 생일 케익을 요청했어요 체크인시 사전 업그레이드 되어 디럭스 스위트 객실로 업그레이드 되어 어머니께 아주 멋진 선물이 된 것 같아 뿌듯합니다 케익 대신에 아주 훌륭한 와인과 웰컴 과일을 챙겨주신 이진호매니져님 감사합니다 앱 채팅으로 부탁 드렸는데 아주 정중하고 친절한 답변을 주신게 인상적입니다 제주의 신라호텔과 롯데호텔과 비교하여도 모든것이 만족스러웠습니다 전기차 충전소도 아주 여유 있어 충전하는데 문제가 없었고 코로나19로 인해 호텔입구부터 발열 체크까지 여러모로 준비된 호텔이었습니다 위치는 안덕면이 애월 그리고 중문 단지 중간 지점이라 이동하기 또한 매우 괜찮은 지역입니다 조식의 컬리티 또한 아주 훌륭했고 점심 런치 뷔페는 가성비가 너무 좋아 만족합니다 하우스키핑의 객실 청소 또한 만족합니다 턴다운 서비스도 아주 만족합니다 다만 조금 아쉬운 점은 체크인 시간을 훌쩍 넘긴 오후 5시에 체크인 했지만 체크인 카운트가 조금 분비는 경향이 있습니다 다른 메리어트 호텔과 다르게 메리어트 회원 전용 체크인 카운트가 없다는 것은 조금 아쉽네요 다만 라운지에서 기다리니 직원이 다가와 체크인 카운트를 새로 열어 체크인 해 주신 점은 아주 만족합니다 체크인 대기 30분 넘게 걸렸어요 조금 빠른 대처를 하면 좋울것 같습니다 그리고 호텔의 피트니스 센터는 호텔 규모에 대비해 너무 적은 것은 아쉽네요 전체적으로 볼때 소프트웨어와 하드웨어가 훌륭한 호텔이고 가족이 여행와서 지내기에 아주 괜찮은 호텔임이 틀립없습니다 호텔 그리고 워터파크 놀이동산까지 가족을 위한 베려가 정점에 있는 제주 호텔이지 싶어요 호텔안에서 호캉스 하실분들은 제주 메리어트 강추합니다 여름휴가 이후 재방문시 아쉬운점이 모두 해결되길 바랍니다,4,1,2020.06,메리어트관 제주신화월드 앤 리조트,5,2020.06
581,김경숙,저희는 제주도민이에요^^ 생일맞이해서 랜딩관 무료숙박 이벤트가 있었는데 아이들이랑 모실클럽하우스 이용하려고 추가비용내고 메리어트에 투숙했어요! 5살 큰아이가 수영장 간다고 며칠전부터 들떠서 체크인 하자마자 수영장으로 고고씽~! 모실 실내수영장이 공사중이라 야외수영장만 이용해야해서 90일 안된 둘째가 좀 힘들까 생각됐는데 물온도가 차지 않아서 적당했어요. 추우면 바로 연결된 자쿠지에 들어가면 되니까요^^ 근데 놀다보니 자쿠지 들어갈 일이 없었어요. 아기도 수영을 너무 즐겨서 투숙한 보람이 있었네요^^ 아이의 기쁨이 부모의 기쁨이니까요^^ 아기때문에 체크인할때 아기욕조 아기침대 요청했는데 유용하게 사용했습니다. 아이스크림케익도 사왔는데 저녁에 먹을꺼라 룸서비스로 보관요청하고 다시 잘 가져다주셔서 생일파티도 했어요^^ 세남자와 함께한 신화 메리어트에서의 생일 행복하게 잘 보내고 왔어요^^,5,1,2020.06,메리어트관 제주신화월드 앤 리조트,5,2020.06
582,미리 최,"코로나19로 인해 셔틀이나 수영장, 식음업장 등 일부 운영을 임시 조정한 상태였어요. 봄이 되니 정원이 너무 아름다워서 2주간 머무는 동안 하루에도 여러 차례씩 꽃구경하고 새들의 지저귐에 답하면서 산책했어요. 객실 편의시설이 잘 구비되어 있고 깨끗하답니다. 하우스키핑 정연진 님은 책임감이 강하고 센스만점, 요청사항을 처리한 다음엔 어떤지 피드백까지 해주셔서 맘편히 지냈어요. 수영장을 일부만 개장하여 이용객이 너무 많아 불편하긴 했지만 김태경 님, 김광수 님 바쁜 중에도 여러가지 배려와 안내 감사합니다. 제인 님을 비롯한 컨시어지 직원분들,오드리문 님, 쉴틈없이 몰려오는 손님들 도와주면서도 여러 가지 문의하고 요청하는 내용 빈틈없이 해결해 주셔요.스카이 on 5의 상혁님, 재방문에 반기며 우리 취향 기억해서 편히 식사하도록 해주셨어요. 어쩔 수 없이 객실과 부대시설 운영을 조정하여 불편한 점은 있었지만, 직원분들이 정신없이 바쁘게 일하면서도 웃음을 잃지 않고 최선을 다해주니 곧 다시 가고 싶어요.",5,22,2020.06,메리어트관 제주신화월드 앤 리조트,5,2020.05
583,백호정,로비에서 문제가생겨 어찌할줄 모르고있었는데 너무 친절한 직원분께서 너무 감사하게도 도움을 주셨어요. 가족과 너무 즐거운 시간보냈고 엄청난 규모에 또한번 놀랐습니다. 나중에 남편과 단둘이 다시 올 예정입니다. 이번에 받은 감동이 너무커서 ..^^ 조식도 훌륭하니 걱정말고 즐기시면 될것같습니다. 좋은 추억을 만들어주셔서 감사합니다.,5,0,2020.06,메리어트관 제주신화월드 앤 리조트,5,2020.05
584,Parkchanghee,"작년 07/05~07/07 이틀간 메리어트관에서 지냈습니다. (16개월짜리 아기랑 함께 간 여행이라 준비할것도 많고 걱정도 많았습니다.) 지금까지 전세계 100여곳이 넘는 호텔을 가봤는데요, 정말 가족과 연인끼리 가기에는 가장 좋은 호텔이었습니다. 우선 직원분들의 서비스퀄리니타 마인드셋은 감동 수준이었구요. 호텔 컨디션도 최고였습니다. 앞으로 제주도 여행가면 무조건 신화월드라고 결정을했구요. 그래서 올 여름에 또 예약했습니다. 작년에는 인피니티 풀이 없었는데 이번에 생겨서 다시 가보려구요. 아! 그리고 조식뷔페도 너무 좋았습니다. 음식 수준도 수준이지만 접시 하나까지 너무 예쁘더라구요. 무조건 강추입니다.",5,0,2020.06,메리어트관 제주신화월드 앤 리조트,5,2019.07
585,윤정연,아이가 공룡을 워낙 좋아해서 쥬라기 공룡캠프에 참여했는데 너무 즐거운 시간을 보냈습니다~~~모래놀이도 하고 공룡퀴즈도 맞추고 선물도 받았어요^^,5,0,2020.05,메리어트관 제주신화월드 앤 리조트,5,2020.05
586,TroyKang1,"첫번째 방문이었습니다. 직원분들도 상냥하고 친절하시고, 불편한점을 바로 처리하려 노력하는것 같아서 좋았습니다. 객실은 정말 청결하고 가족들이 머무는데는 불편함이 없었습니다. 조식도 서양식 메뉴 외에 다양한 한식메뉴와 제주도의 특성이 잘 나타나는 음식인 당근주스, 갈치구이 등이 있어서 좋았습니다. 최근 상황때문에 셔틀버스랑 일부 음식점이 영업을 하지않아 아쉬웠습니다. 다음번에 시설들이 전부 정상화되면 다시한번 방문하고싶습니다.",4,0,2020.05,메리어트관 제주신화월드 앤 리조트,5,2020.05
587,CHA C,케익만들기 하고왔어요. 아이가 재미있게 만들고 왔다고 좋아했구요. 같이 진행해주신 김나혜 선생님이 칭찬도 많이해주셔서 더 좋은 추억으로 기억될거 같습니다. 감사합니다^^,5,1,2020.05,메리어트관 제주신화월드 앤 리조트,5,2020.05
588,SuHyun,"제주의 많은 호텔에서 다양한 키즈 프로그램들을 접해 보았지만 아이가 가장 좋아하고 오랫동안 기억하며 이야기하는 신화월드 키즈 프로그램입니다. 쥬라기 클래스와 쿠킹,크래프트 등등 어떤 수업을 선택하셔도 아이들이 좋아할 거에요! 저희는 제주 이사 준비로 신화월드를 자주 이용하고 있는데 코로나 때문에 아이 혼자만 수업을 신청했던 적도 많았지만 그럴때도 세 분 선생님 모두 친절하게 응대해 주시고 사랑으로 아이를 대해주시는게 느껴저서 믿고 아이를 맡길 수 있었습니다. 펭귄선생님 나비선생님 토끼선생님. 정말 감사합니다",5,0,2020.05,메리어트관 제주신화월드 앤 리조트,5,2020.05
589,nya0ng,"여행 좋아해서 여러 호텔들에 다녔었는데, 이번에 처음으로 저의 호텔선택에 큰 회의를 느낍니다. 무슨 몇만원 내고 머무는 것도 아닌데, 에어컨도 안되는 데다가 서비스 대응도 안좋고 1인당 45,000원 하는 조식도 가성비가 정말... 다음에는 여기서 돈을 준다고 해도 다른 호텔 갈 것 같습니다. 메리어트 이름이 있어서 기대 했는데 실망이 크네요. 별 반개가 있다면 반개 선택했을 것 같습니다.",1,2,2020.05,메리어트관 제주신화월드 앤 리조트,5,2020.05
590,이미희,신화월드 즐거운 케잌만들기 시간~~ 즐겁게 놀고 자격증까지 받으니 자존감도 업업ㅎ 아이는 신나게 신나게 놀고ㅎㅎ엄마는 그시간 쉬고ㅎ행복하네요ㅎㅎ,4,0,2020.04,메리어트관 제주신화월드 앤 리조트,5,2020.04
591,엘사맘,어른에겐 잠깐의 휴식 아이들에게 재미있는 쿠킹 클라스.. 아이들이 넘 좋아해요~^^ 다른 엑티비티도 해야겠어요 선생님도 넘 친절하셔서 믿고 맡기기 좋은 곳~,5,0,2020.04,메리어트관 제주신화월드 앤 리조트,5,2020.04
592,lamothe,8살 아이가 액티비티를 체험했는데 쥬라기캠프 너무 좋아하네요~^^ 이것저것 선물도 주고 선생님도 완전 친절하시고 3시간 엄마도 자유구요 간식도 주네요~~ 추천합니다 다음에 또 오면 할꺼예요,5,0,2020.04,메리어트관 제주신화월드 앤 리조트,5,2020.04
